pk,name,country,latitude,longitude,collector,collection_date,cs_number,species,genotypes,count_phenotypes
6833,Kz-6,Kazakhstan,49.5,73.1,Ihsan Al-Shehbaz,,,Arabidopsis thaliana,,0
6834,Kz-7,Kazakhstan,49.5,73.1,Ihsan Al-Shehbaz,,,Arabidopsis thaliana,,0
6835,Kz-8,Kazakhstan,49.5,73.1,Ihsan Al-Shehbaz,,,Arabidopsis thaliana,,0
6837,NFC-1,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6838,NFC-10,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6839,NFC-11,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6840,NFC-13,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6841,NFC-14,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6842,NFC-15,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6843,NFC-16,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6844,NFC-17,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6845,NFC-18,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6846,NFC-2,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6847,NFC-20,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,114
6848,NFC-3,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6849,NFC-4,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6850,NFC-5,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6851,NFC-6,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
6852,NFC-8,UK,51.4083,-0.6383,Mick Crawley,,,Arabidopsis thaliana,,0
